PDA,DIPPA,DT,DIPCA,count
1,0,0,0,360
0,1,0,0,127
1,1,0,0,9
0,0,1,0,2216
1,0,1,0,188
0,1,1,0,30
1,1,1,0,5
0,0,0,1,284
1,0,0,1,44
0,1,0,1,6
1,1,0,1,0
0,0,1,1,78
1,0,1,1,22
0,1,1,1,9
1,1,1,1,0
